plot 0,0 -0.954177	3.09049e-05	999.046	3.41337e-05	499.809	865.576	
plot 0,0 -0.954102	0.000115828	999.046	0.000141315	499.846	865.529	
plot 0,0 -0.953962	0.000241082	999.046	0.00032644	499.869	865.473	
plot 0,0 -0.953745	0.000390653	999.046	0.000591475	499.876	865.41	
plot 0,0 -0.953444	0.000546669	999.046	0.000935648	499.864	865.343	
plot 0,0 -0.953055	0.000689934	999.046	0.0013557	499.83	865.274	
plot 0,0 -0.952578	0.000800485	999.046	0.00184621	499.772	865.206	
plot 0,0 -0.952016	0.000858196	999.046	0.00239995	499.69	865.142	
plot 0,0 -0.951376	0.000843374	999.046	0.00300829	499.582	865.082	
plot 0,0 -0.950668	0.000737376	999.046	0.00366163	499.446	865.031	
plot 0,0 -0.949906	0.000523192	999.046	0.00434986	499.284	864.99	
plot 0,0 -0.949107	0.000186012	999.046	0.00506279	499.094	864.962	
plot 0,0 -0.948292	-0.000286255	999.047	0.00579063	498.878	864.947	
plot 0,0 -0.947482	-0.000902515	999.047	0.0065244	498.635	864.948	
plot 0,0 -0.946702	-0.00166809	999.047	0.00725632	498.369	864.967	
plot 0,0 -0.945977	-0.00258441	999.047	0.0079802	498.079	865.003	
plot 0,0 -0.945333	-0.00364875	999.047	0.00869174	497.769	865.059	
plot 0,0 -0.944796	-0.00485412	999.047	0.00938877	497.441	865.135	
plot 0,0 -0.944393	-0.0061892	999.047	0.0100715	497.097	865.23	
plot 0,0 -0.944148	-0.00763841	999.047	0.0107424	496.74	865.345	
plot 0,0 -0.944082	-0.00918205	999.047	0.0114068	496.374	865.479	
plot 0,0 -0.944217	-0.0107966	999.047	0.0120722	496.001	865.633	
plot 0,0 -0.944568	-0.012455	999.046	0.0127485	495.625	865.803	
plot 0,0 -0.945149	-0.0141272	999.045	0.013448	495.25	865.991	
plot 0,0 -0.945968	-0.0157807	999.044	0.0141847	494.879	866.193	
plot 0,0 -0.947029	-0.017381	999.043	0.0149743	494.516	866.409	
plot 0,0 -0.948332	-0.0188925	999.042	0.0158338	494.163	866.635	
plot 0,0 -0.949869	-0.020279	999.041	0.016781	493.824	866.871	
plot 0,0 -0.951629	-0.0215047	999.039	0.017834	493.501	867.114	
plot 0,0 -0.953595	-0.0225347	999.038	0.0190107	493.198	867.361	
plot 0,0 -0.955745	-0.0233362	999.036	0.0203285	492.917	867.61	
plot 0,0 -0.958052	-0.0238788	999.034	0.0218034	492.659	867.859	
plot 0,0 -0.960483	-0.0241357	999.032	0.0234497	492.427	868.105	
plot 0,0 -0.963002	-0.024084	999.03	0.0252795	492.221	868.345	
plot 0,0 -0.965569	-0.0237057	999.028	0.0273021	492.043	868.578	
plot 0,0 -0.96814	-0.0229883	999.026	0.0295236	491.893	868.8	
plot 0,0 -0.970671	-0.0219248	999.024	0.0319466	491.771	869.011	
plot 0,0 -0.973113	-0.0205147	999.022	0.0345698	491.677	869.208	
plot 0,0 -0.975419	-0.0187639	999.021	0.0373877	491.61	869.389	
plot 0,0 -0.977541	-0.0166851	999.019	0.0403905	491.568	869.553	
plot 0,0 -0.979433	-0.0142975	999.018	0.043564	491.55	869.699	
plot 0,0 -0.981049	-0.0116272	999.016	0.0468895	491.553	869.826	
plot 0,0 -0.982348	-0.00870655	999.016	0.0503443	491.577	869.933	
plot 0,0 -0.983292	-0.00557395	999.015	0.0539013	491.617	870.02	
plot 0,0 -0.983848	-0.00227341	999.015	0.0575299	491.671	870.087	
plot 0,0 -0.98399	0.00114613	999.015	0.061196	491.737	870.134	
plot 0,0 -0.983696	0.00463148	999.016	0.0648627	491.81	870.162	
