-10.9338	1
-10.624	0
-10.3141	0
-10.0042	0
-9.69434	2
-9.38447	5
-9.0746	1
-8.76473	2
-8.45486	5
-8.14499	5
-7.83512	5
-7.52524	6
-7.21537	9
-6.9055	8
-6.59563	10
-6.28576	13
-5.97589	15
-5.66602	10
-5.35615	34
-5.04627	23
-4.7364	31
-4.42653	40
-4.11666	51
-3.80679	64
-3.49692	68
-3.18705	86
-2.87718	95
-2.56731	90
-2.25743	72
-1.94756	85
-1.63769	107
-1.32782	104
-1.01795	125
-0.708078	111
-0.398207	101
-0.0883355	123
0.221536	133
0.531407	109
0.841278	120
1.15115	133
1.46102	101
1.77089	109
2.08076	79
2.39063	85
2.70051	88
3.01038	76
3.32025	49
3.63012	55
3.93999	35
4.24986	57
4.55973	37
4.8696	45
5.17947	31
5.48935	26
5.79922	19
6.10909	12
6.41896	11
6.72883	16
7.0387	8
7.34857	9
7.65844	5
7.96832	2
8.27819	6
8.58806	3
8.89793	3
9.2078	0
9.51767	3
9.82754	1
10.1374	0
10.4473	1
10.7572	0
11.067	1
